"","year","Year","Total","Total.White","Total.Black.or.African.American","Total.Asian","Total.Hispanic.or.Latino.ethnicity","Group","Year.1","Total.1","Total.White.1","Total.Black.or.African.American.1","Total.Asian.1","Total.Hispanic.or.Latino.ethnicity.1","Group.1","gap","gapWhite","gapBlack","gapHispanic"
"1","1979","1979",5.65,5.79,4.89,"–",4.79,"M","1979",3.62,3.62,3.55,"–",3.44,"W",2.03,2.03,2.1,2.21
"2","1980","1980",6.1,6.23,5.18,"–",5.03,"M","1980",3.95,3.96,3.88,"–",3.78,"W",2.15,2.14,2.22,2.32
"3","1981","1981",6.57,6.71,5.81,"–",5.37,"M","1981",4.28,4.28,4.19,"–",4.1,"W",2.29,2.29,2.38,2.47
"4","1982","1982",6.85,6.98,5.97,"–",5.73,"M","1982",4.61,4.61,4.49,"–",4.33,"W",2.24,2.24,2.36,2.52
"5","1983","1983",6.92,7.07,5.96,"–",5.81,"M","1983",4.8,4.81,4.72,"–",4.42,"W",2.12,2.11,2.2,2.5
"6","1984","1984",7.12,7.26,6.16,"–",6.04,"M","1984",4.97,4.98,4.87,"–",4.65,"W",2.15,2.14,2.25,2.47
"7","1985","1985",7.33,7.58,6.15,"–",6.07,"M","1985",5.13,5.14,5.04,"–",4.82,"W",2.2,2.19,2.29,2.51
"8","1986","1986",7.59,7.78,6.57,"–",6.19,"M","1986",5.33,5.35,5.17,"–",5,"W",2.26,2.24,2.42,2.59
"9","1987","1987",7.77,7.93,6.74,"–",6.37,"M","1987",5.6,5.62,5.4,"–",5.11,"W",2.17,2.15,2.37,2.66
"10","1988","1988",7.91,8.06,6.94,"–",6.51,"M","1988",5.84,5.86,5.61,"–",5.28,"W",2.07,2.05,2.3,2.63
"11","1989","1989",8.1,8.28,7.07,"–",6.66,"M","1989",6.11,6.13,5.88,"–",5.53,"W",1.99,1.97,2.22,2.57
"12","1990","1990",8.27,8.55,7.37,"–",6.74,"M","1990",6.44,6.46,6.23,"–",5.8,"W",1.83,1.81,2.04,2.47
"13","1991","1991",8.59,8.82,7.57,"–",6.88,"M","1991",6.75,6.76,6.55,"–",5.98,"W",1.84,1.83,2.04,2.61
"14","1992","1992",8.67,8.89,7.62,"–",6.99,"M","1992",6.96,6.99,6.64,"–",6.17,"W",1.71,1.68,2.03,2.5
"15","1993","1993",8.86,9.07,7.67,"–",7.12,"M","1993",7.12,7.16,6.87,"–",6.31,"W",1.74,1.7,1.99,2.55
"16","1994","1994",9,9.21,7.92,"–",7.17,"M","1994",7.25,7.34,6.93,"–",6.4,"W",1.75,1.66,2.07,2.6
"17","1995","1995",9.23,9.62,8.16,"–",7.26,"M","1995",7.46,7.54,7.12,"–",6.6,"W",1.77,1.69,2.11,2.63
"18","1996","1996",9.52,9.79,8.18,"–",7.62,"M","1996",7.73,7.79,7.2,"–",6.77,"W",1.79,1.73,2.32,2.75
"19","1997","1997",9.83,9.96,8.67,"–",7.9,"M","1997",7.94,8,7.59,"–",6.82,"W",1.89,1.83,2.24,3.01
"20","1998","1998",10.06,10.18,9.09,"–",8.24,"M","1998",8.23,8.33,7.9,"–",7.22,"W",1.83,1.73,2.16,2.84
"21","1999","1999",10.31,10.61,9.77,"–",8.61,"M","1999",8.64,8.73,8.13,"–",7.46,"W",1.67,1.58,2.18,2.85
"22","2000","2000",10.81,10.95,9.98,"10.79",9.04,"M","2000",9.06,9.09,8.86,"9.77",7.89,"W",1.75,1.72,1.95,2.92
"23","2001","2001",11.32,11.61,10.18,"11.84",9.67,"M","2001",9.64,9.73,9.15,"10.07",8.28,"W",1.68,1.59,2.17,3.04
"24","2002","2002",11.64,11.86,10.24,"11.02",9.92,"M","2002",9.89,9.94,9.45,"10.1",8.54,"W",1.75,1.7,2.19,3.1
"25","2003","2003",11.89,12.03,10.81,"11.89",10.03,"M","2003",10.08,10.11,9.91,"10.68",8.88,"W",1.81,1.78,1.98,3.01
"26","2004","2004",12.02,12.16,10.88,"11.9",10.02,"M","2004",10.17,10.21,9.93,"10.57",9.04,"W",1.85,1.81,2.09,2.98
"27","2005","2005",12.16,12.47,10.9,"12.75",10.19,"M","2005",10.31,10.5,9.93,"11.64",9.18,"W",1.85,1.66,2.23,2.98
"28","2006","2006",12.68,12.88,11.42,"13.18",10.84,"M","2006",10.65,10.77,10.11,"11.95",9.5,"W",2.03,1.91,2.57,3.18
