"","Year","Total","Total White","Total Black or African American","Total Asian","Total Hispanic or Latino ethnicity","Group"
"1","1979",5.65,5.79,4.89,"–",4.79,"M"
"2","1980",6.1,6.23,5.18,"–",5.03,"M"
"3","1981",6.57,6.71,5.81,"–",5.37,"M"
"4","1982",6.85,6.98,5.97,"–",5.73,"M"
"5","1983",6.92,7.07,5.96,"–",5.81,"M"
"6","1984",7.12,7.26,6.16,"–",6.04,"M"
"7","1985",7.33,7.58,6.15,"–",6.07,"M"
"8","1986",7.59,7.78,6.57,"–",6.19,"M"
"9","1987",7.77,7.93,6.74,"–",6.37,"M"
"10","1988",7.91,8.06,6.94,"–",6.51,"M"
"11","1989",8.1,8.28,7.07,"–",6.66,"M"
"12","1990",8.27,8.55,7.37,"–",6.74,"M"
"13","1991",8.59,8.82,7.57,"–",6.88,"M"
"14","1992",8.67,8.89,7.62,"–",6.99,"M"
"15","1993",8.86,9.07,7.67,"–",7.12,"M"
"16","1994",9,9.21,7.92,"–",7.17,"M"
"17","1995",9.23,9.62,8.16,"–",7.26,"M"
"18","1996",9.52,9.79,8.18,"–",7.62,"M"
"19","1997",9.83,9.96,8.67,"–",7.9,"M"
"20","1998",10.06,10.18,9.09,"–",8.24,"M"
"21","1999",10.31,10.61,9.77,"–",8.61,"M"
"22","2000",10.81,10.95,9.98,"10.79",9.04,"M"
"23","2001",11.32,11.61,10.18,"11.84",9.67,"M"
"24","2002",11.64,11.86,10.24,"11.02",9.92,"M"
"25","2003",11.89,12.03,10.81,"11.89",10.03,"M"
"26","2004",12.02,12.16,10.88,"11.9",10.02,"M"
"27","2005",12.16,12.47,10.9,"12.75",10.19,"M"
"28","2006",12.68,12.88,11.42,"13.18",10.84,"M"
"29","2007",12.95,13.22,11.57,"13.22",11.07,"M"
"30","2008",13.46,13.85,11.99,"14.03",11.83,"M"
"31","2009",13.76,13.95,12.27,"14.01",11.92,"M"
"32","2010",13.76,13.97,12.16,"14.11",11.73,"M"
"33","2011",13.8,14.02,12.06,"14.25",11.81,"M"
"34","2012",13.88,14.17,12.2,"14.15",11.96,"M"
"35","2013",14,14.24,12.16,"14.24",11.99,"M"
"36","2014",14.39,14.86,12.21,"14.66",12.38,"M"
"37","2015",14.67,14.93,12.66,"14.87",12.92,"M"
"38","2016",14.96,15.13,13.06,"15.04",13.83,"M"
"39","2017",15.2,15.79,13.34,"16.649999999999999",14.37,"M"
"40","2018",16.01,16.53,14.22,"16.690000000000001",15.01,"M"
"41","2019",16.76,17.1,14.98,"17.22",15.25,"M"
