"","Year","Total","Total White","Total Black or African American","Total Asian","Total Hispanic or Latino ethnicity","Group"
"1","1979",4.44,4.51,4.11,"–",4.08,"T"
"2","1980",4.82,4.88,4.44,"–",4.44,"T"
"3","1981",5.15,5.18,4.9,"–",4.81,"T"
"4","1982",5.4,5.47,5.06,"–",5.01,"T"
"5","1983",5.59,5.66,5.15,"–",5.09,"T"
"6","1984",5.83,5.9,5.36,"–",5.27,"T"
"7","1985",6.03,6.1,5.5,"–",5.47,"T"
"8","1986",6.2,6.28,5.8,"–",5.65,"T"
"9","1987",6.47,6.56,5.99,"–",5.82,"T"
"10","1988",6.73,6.81,6.15,"–",5.95,"T"
"11","1989",6.99,7.08,6.43,"–",6.07,"T"
"12","1990",7.23,7.33,6.81,"–",6.28,"T"
"13","1991",7.5,7.61,7,"–",6.46,"T"
"14","1992",7.72,7.82,7.06,"–",6.65,"T"
"15","1993",7.87,7.97,7.18,"–",6.83,"T"
"16","1994",8.01,8.11,7.29,"–",6.93,"T"
"17","1995",8.17,8.32,7.66,"–",7,"T"
"18","1996",8.4,8.57,7.76,"–",7.17,"T"
"19","1997",8.75,8.88,8.01,"–",7.39,"T"
"20","1998",9.1,9.22,8.39,"–",7.92,"T"
"21","1999",9.53,9.74,8.85,"–",8.07,"T"
"22","2000",9.91,9.96,9.34,"10.07",8.54,"T"
"23","2001",10.19,10.26,9.78,"10.75",9.06,"T"
"24","2002",10.47,10.71,9.93,"10.36",9.22,"T"
"25","2003",10.85,10.97,10.15,"11.12",9.76,"T"
"26","2004",11,11.13,10.19,"11.1",9.81,"T"
"27","2005",11.19,11.48,10.17,"12.01",9.95,"T"
"28","2006",11.76,11.86,10.66,"12.53",10.12,"T"
"29","2007",11.95,12.08,10.89,"12.22",10.24,"T"
"30","2008",12.23,12.54,11.2,"13.01",10.97,"T"
"31","2009",12.44,12.66,11.64,"13.16",11.04,"T"
"32","2010",12.5,12.74,11.77,"13.22",10.88,"T"
"33","2011",12.71,12.91,11.79,"13.35",11.05,"T"
"34","2012",12.8,13.04,11.84,"13.23",11.12,"T"
"35","2013",12.93,13.15,11.9,"13.62",11.25,"T"
"36","2014",13.14,13.57,11.88,"14",11.83,"T"
"37","2015",13.44,13.87,12.06,"14.19",12.04,"T"
"38","2016",14,14.24,12.49,"14.79",12.69,"T"
"39","2017",14.63,14.89,12.9,"15.06",13.16,"T"
"40","2018",14.99,15.16,13.64,"15.24",13.99,"T"
"41","2019",15.35,15.85,14.66,"16.13",14.86,"T"
