"","Year","Total","Total White","Total Black or African American","Total Asian","Total Hispanic or Latino ethnicity","Group"
"1","1979",3.62,3.62,3.55,"–",3.44,"W"
"2","1980",3.95,3.96,3.88,"–",3.78,"W"
"3","1981",4.28,4.28,4.19,"–",4.1,"W"
"4","1982",4.61,4.61,4.49,"–",4.33,"W"
"5","1983",4.8,4.81,4.72,"–",4.42,"W"
"6","1984",4.97,4.98,4.87,"–",4.65,"W"
"7","1985",5.13,5.14,5.04,"–",4.82,"W"
"8","1986",5.33,5.35,5.17,"–",5,"W"
"9","1987",5.6,5.62,5.4,"–",5.11,"W"
"10","1988",5.84,5.86,5.61,"–",5.28,"W"
"11","1989",6.11,6.13,5.88,"–",5.53,"W"
"12","1990",6.44,6.46,6.23,"–",5.8,"W"
"13","1991",6.75,6.76,6.55,"–",5.98,"W"
"14","1992",6.96,6.99,6.64,"–",6.17,"W"
"15","1993",7.12,7.16,6.87,"–",6.31,"W"
"16","1994",7.25,7.34,6.93,"–",6.4,"W"
"17","1995",7.46,7.54,7.12,"–",6.6,"W"
"18","1996",7.73,7.79,7.2,"–",6.77,"W"
"19","1997",7.94,8,7.59,"–",6.82,"W"
"20","1998",8.23,8.33,7.9,"–",7.22,"W"
"21","1999",8.64,8.73,8.13,"–",7.46,"W"
"22","2000",9.06,9.09,8.86,"9.77",7.89,"W"
"23","2001",9.64,9.73,9.15,"10.07",8.28,"W"
"24","2002",9.89,9.94,9.45,"10.1",8.54,"W"
"25","2003",10.08,10.11,9.91,"10.68",8.88,"W"
"26","2004",10.17,10.21,9.93,"10.57",9.04,"W"
"27","2005",10.31,10.5,9.93,"11.64",9.18,"W"
"28","2006",10.65,10.77,10.11,"11.95",9.5,"W"
"29","2007",10.98,11.06,10.45,"11.83",9.8,"W"
"30","2008",11.49,11.7,10.78,"12.25",10.07,"W"
"31","2009",11.76,11.83,11.01,"12.67",10.09,"W"
"32","2010",11.83,11.88,11.2,"12.41",10.11,"W"
"33","2011",11.98,12.05,11.28,"12.8",10.25,"W"
"34","2012",11.99,12.08,11.23,"12.75",10.21,"W"
"35","2013",12.12,12.21,11.54,"13.04",10.49,"W"
"36","2014",12.18,12.38,11.57,"13.23",10.72,"W"
"37","2015",12.56,12.82,11.7,"13.8",11.08,"W"
"38","2016",13.01,13.2,12.09,"14.07",11.79,"W"
"39","2017",13.56,13.87,12.55,"14.23",12.09,"W"
"40","2018",14.06,14.27,13.02,"14.95",12.8,"W"
"41","2019",14.85,14.93,14,"15.29",13.74,"W"
